nom_c	nom_l	color	vol_vox	vol_mm3
FAL	Precentral_L	2001	3526	28208
FAR	Precentral_R	2002	3381	27048
F1_2L	Frontal_Sup_2_L	2101	4873	38984
F1_2R	Frontal_Sup_2_R	2102	5127	41016
F2_2L	Frontal_Mid_2_L	2201	4509	36072
F2_2R	Frontal_Mid_2_R	2202	4860	38880
F3OPL	Frontal_Inf_Oper_L	2301	1038	8304
F3OPR	Frontal_Inf_Oper_R	2302	1399	11192
F3TL	Frontal_Inf_Tri_L	2311	2529	20232
F3TR	Frontal_Inf_Tri_R	2312	2151	17208
F3O_2L	Frontal_Inf_Orb_2_L	2321	814	6512
F3O_2R	Frontal_Inf_Orb_2_R	2322	874	6992
ORL	Rolandic_Oper_L	2331	990	7920
ORR	Rolandic_Oper_R	2332	1331	10648
SMAL	Supp_Motor_Area_L	2401	2147	17176
SMAR	Supp_Motor_Area_R	2402	2371	18968
COBL	Olfactory_L	2501	280	2240
COBR	Olfactory_R	2502	289	2312
FML	Frontal_Sup_Medial_L	2601	2992	23936
FMR	Frontal_Sup_Medial_R	2602	2134	17072
FMOL	Frontal_Med_Orb_L	2611	719	5752
FMOR	Frontal_Med_Orb_R	2612	856	6848
GRL	Rectus_L	2701	852	6816
GRR	Rectus_R	2702	745	5960
OFCMEDL	OFCmed_L	2801	550	4400
OFCMEDR	OFCmed_R	2802	621	4968
OFCANTL	OFCant_L	2811	443	3544
OFCANTR	OFCant_R	2812	648	5184
OFCPOSTL	OFCpost_L	2821	567	4536
OFCPOSTR	OFCpost_R	2822	561	4488
OFCLATL	OFClat_L	2831	197	1576
OFCLATR	OFClat_R	2832	188	1504
INL	Insula_L	3001	1858	14864
INR	Insula_R	3002	1770	14160
CIAL	Cingulate_Ant_L	4001	1400	11200
CIAR	Cingulate_Ant_R	4002	1313	10504
CINML	Cingulate_Mid_L	4011	1941	15528
CINMR	Cingulate_Mid_R	4012	2203	17624
CIPL	Cingulate_Post_L	4021	463	3704
CIPR	Cingulate_Post_R	4022	335	2680
HIPPOL	Hippocampus_L	4101	932	7456
HIPPOR	Hippocampus_R	4102	946	7568
PARA_HIPPOL	ParaHippocampal_L	4111	978	7824
PARA_HIPPOR	ParaHippocampal_R	4112	1132	9056
AMYGDL	Amygdala_L	4201	220	1760
AMYGDR	Amygdala_R	4202	248	1984
V1L	Calcarine_L	5001	2258	18064
V1R	Calcarine_R	5002	1861	14888
QL	Cuneus_L	5011	1526	12208
QR	Cuneus_R	5012	1424	11392
LINGL	Lingual_L	5021	2095	16760
LINGR	Lingual_R	5022	2300	18400
O1L	Occipital_Sup_L	5101	1366	10928
O1R	Occipital_Sup_R	5102	1413	11304
O2L	Occipital_Mid_L	5201	3270	26160
O2R	Occipital_Mid_R	5202	2098	16784
O3L	Occipital_Inf_L	5301	941	7528
O3R	Occipital_Inf_R	5302	989	7912
FUSIL	Fusiform_L	5401	2310	18480
FUSIR	Fusiform_R	5402	2518	20144
PAL	Postcentral_L	6001	3892	31136
PAR	Postcentral_R	6002	3823	30584
P1L	Parietal_Sup_L	6101	2065	16520
P1R	Parietal_Sup_R	6102	2222	17776
P2L	Parietal_Inf_L	6201	2447	19576
P2R	Parietal_Inf_R	6202	1345	10760
GSML	SupraMarginal_L	6211	1256	10048
GSMR	SupraMarginal_R	6212	1974	15792
GAL	Angular_L	6221	1173	9384
GAR	Angular_R	6222	1752	14016
PQL	Precuneus_L	6301	3528	28224
PQR	Precuneus_R	6302	3265	26120
LPCL	Paracentral_Lobule_L	6401	1349	10792
LPCR	Paracentral_Lobule_R	6402	836	6688
NCL	Caudate_L	7001	962	7696
NCR	Caudate_R	7002	994	7952
NLL	Putamen_L	7011	1009	8072
NLR	Putamen_R	7012	1064	8512
PALLL	Pallidum_L	7021	293	2344
PALLR	Pallidum_R	7022	280	2240
THAL	Thalamus_L	7101	1100	8800
THAR	Thalamus_R	7102	1057	8456
HESCHLL	Heschl_L	8101	225	1800
HESCHLR	Heschl_R	8102	249	1992
T1L	Temporal_Sup_L	8111	2296	18368
T1R	Temporal_Sup_R	8112	3141	25128
T1AL	Temporal_Pole_Sup_L	8121	1285	10280
T1AR	Temporal_Pole_Sup_R	8122	1338	10704
T2L	Temporal_Mid_L	8201	4942	39536
T2R	Temporal_Mid_R	8202	4409	35272
T2AL	Temporal_Pole_Mid_L	8211	755	6040
T2AR	Temporal_Pole_Mid_R	8212	1187	9496
T3L	Temporal_Inf_L	8301	3200	25600
T3R	Temporal_Inf_R	8302	3557	28456
CERCRU1L	Cerebelum_Crus1_L	9001	2603	20824
CERCRU1R	Cerebelum_Crus1_R	9002	2648	21184
CERCRU2L	Cerebelum_Crus2_L	9011	1894	15152
CERCRU2R	Cerebelum_Crus2_R	9012	2117	16936
CER3L	Cerebelum_3_L	9021	136	1088
CER3R	Cerebelum_3_R	9022	207	1656
CER4_5L	Cerebelum_4_5_L	9031	1125	9000
CER4_5R	Cerebelum_4_5_R	9032	861	6888
CER6L	Cerebelum_6_L	9041	1694	13552
CER6R	Cerebelum_6_R	9042	1795	14360
CER7BL	Cerebelum_7b_L	9051	585	4680
CER7BR	Cerebelum_7b_R	9052	534	4272
CER8L	Cerebelum_8_L	9061	1887	15096
CER8R	Cerebelum_8_R	9062	2308	18464
CER9L	Cerebelum_9_L	9071	869	6952
CER9R	Cerebelum_9_R	9072	809	6472
CER10L	Cerebelum_10_L	9081	144	1152
CER10R	Cerebelum_10_R	9082	159	1272
VER1_2	Vermis_1_2	9100	53	424
VER3	Vermis_3	9110	228	1824
VER4_5	Vermis_4_5	9120	665	5320
VER6	Vermis_6	9130	371	2968
VER7	Vermis_7	9140	194	1552
VER8	Vermis_8	9150	243	1944
VER9	Vermis_9	9160	174	1392
VER10	Vermis_10	9170	112	896
